Name	Treatment	Diet	Genotype
SRR9157275_1	cpsm	psm	cmha
SRR9157276_1	cpsm	psm	cmha
SRR9157277_1	cpsm	psm	cmha
SRR9157278_1	cpsm	psm	cmha
SRR9157279_1	csoy	soy	cmha
SRR9157280_1	cpsm	psm	cmha
SRR9157281_1	cpsm	psm	cmha
SRR9157282_1	cpsm	psm	cmha
SRR9157284_1	wsoy	soy	wt
SRR9157285_1	csoy	soy	cmha
SRR9157286_1	csoy	soy	cmha
SRR9157287_1	wpsm	psm	wt
SRR9157288_1	wpsm	psm	wt
SRR9157289_1	wpsm	psm	wt
SRR9157290_1	wpsm	psm	wt
SRR9157293_1	wsoy	soy	wt
SRR9157295_1	wsoy	soy	wt
SRR9157297_1	wsoy	soy	wt
SRR9157301_1	cpsm	psm	cmha
SRR9157302_1	cpsm	psm	cmha
SRR9157305_1	wsoy	soy	wt
SRR9157314_1	wpsm	psm	wt
SRR9157315_1	wpsm	psm	wt
SRR9157316_1	wpsm	psm	wt
SRR9157317_1	wpsm	psm	wt
SRR9157318_1	wpsm	psm	wt
SRR9157319_1	wpsm	psm	wt
SRR9157320_1	wpsm	psm	wt
SRR9157321_1	wpsm	psm	wt
SRR9157322_1	wsoy	soy	wt
SRR9157323_1	wsoy	soy	wt
SRR9157324_1	wsoy	soy	wt
SRR9157325_1	wsoy	soy	wt
SRR9157326_1	wsoy	soy	wt
SRR9157327_1	wsoy	soy	wt
SRR9157328_1	wpsm	psm	wt
SRR9157329_1	wpsm	psm	wt
SRR9157330_1	wpsm	psm	wt
SRR9157332_1	csoy	soy	cmha
SRR9157343_1	csoy	soy	cmha
SRR9157344_1	csoy	soy	cmha
SRR9157346_1	csoy	soy	cmha
SRR9157347_1	wsoy	soy	wt
SRR9157348_1	csoy	soy	cmha
SRR9157349_1	csoy	soy	cmha
