OTU,mean.group1.,variance.group1.,stderr.group1.,mean.group2.,variance.group2.,stderr.group2.,p.value,q.value,Kingdom,Phylum,Class,Order,Family,Genus,Species
Otu00005,0.018414,0.000211,0.004841,0.056845,0.000311,0.005875,0.000999,0.0345969473684211,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Peptostreptococcaceae(100),Romboutsia(100),
Otu00009,0.005861,5e-06,0.000747,0.010088,1e-06,0.000316,0.000999,0.0345969473684211,Bacteria(100),Proteobacteria(100),Betaproteobacteria(100),Burkholderiales(100),Sutterellaceae(98),Parasutterella(98),
Otu00018,0.009888,3.5e-05,0.001958,0.029213,3.6e-05,0.001986,0.000999,0.0345969473684211,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Bacteroidaceae(100),Bacteroides(100),
Otu00019,0.006366,1.7e-05,0.00137,0.03235,0.000265,0.005427,0.000999,0.0345969473684211,Bacteria(100),Firmicutes(100),Firmicutes_unclassified(99),Firmicutes_unclassified(99),Firmicutes_unclassified(99),Firmicutes_unclassified(99),
Otu00020,0.002313,2e-06,0.000518,2.7e-05,0,1.4e-05,0.000999,0.0345969473684211,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Clostridiales_unclassified(100),Clostridiales_unclassified(100),
Otu00026,0.018547,1.6e-05,0.001314,0.006679,1e-06,0.000404,0.000999,0.0345969473684211,Bacteria(100),Firmicutes(100),Bacilli(100),Lactobacillales(100),Lactobacillaceae(100),Lactobacillus(100),
Otu00028,0,0,0,0.021079,1.4e-05,0.001235,0.000999,0.0345969473684211,Bacteria(100),Firmicutes(100),Erysipelotrichia(100),Erysipelotrichales(100),Erysipelotrichaceae(100),Turicibacter(100),
Otu00031,0.007317,1.5e-05,0.001301,0.002505,1e-06,0.000243,0.000999,0.0345969473684211,Bacteria(100),Bacteroidetes(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),
Otu00036,0.013058,0.000254,0.005316,0.000133,0,4.3e-05,0.000999,0.0345969473684211,Bacteria(100),Firmicutes(100),Firmicutes_unclassified(63),Firmicutes_unclassified(63),Firmicutes_unclassified(63),Firmicutes_unclassified(63),
Otu00037,0.003236,1.3e-05,0.001185,0.026588,4.2e-05,0.002156,0.000999,0.0345969473684211,Bacteria(100),Bacteroidetes(100),Bacteroidia(99),Bacteroidales(99),Bacteroidales_unclassified(99),Bacteroidales_unclassified(99),
Otu00058,0.012041,0.000195,0.004651,0.000591,0,0.000135,0.000999,0.0345969473684211,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),
Otu00061,0.001675,1e-06,0.000268,2e-05,0,1.4e-05,0.000999,0.0345969473684211,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Ruminococcaceae(100),Flavonifractor(100),
Otu00070,0.001163,0,0.000179,0.000106,0,3.1e-05,0.000999,0.0345969473684211,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Ruminococcaceae(100),Ruminococcaceae_unclassified(59),
Otu00075,1.3e-05,0,9e-06,0.008114,6.7e-05,0.002726,0.000999,0.0345969473684211,Bacteria(100),Bacteroidetes(100),Bacteroidia(99),Bacteroidales(99),Bacteroidales_unclassified(99),Bacteroidales_unclassified(99),
Otu00079,0,0,0,0.022189,0.000309,0.005861,0.000999,0.0345969473684211,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),
Otu00081,0.002399,4e-06,0.000637,3.3e-05,0,2e-05,0.000999,0.0345969473684211,Bacteria(100),Proteobacteria(100),Proteobacteria_unclassified(98),Proteobacteria_unclassified(98),Proteobacteria_unclassified(98),Proteobacteria_unclassified(98),
