OTU,mean.group1.,variance.group1.,stderr.group1.,mean.group2.,variance.group2.,stderr.group2.,p.value,q.value,Kingdom,Phylum,Class,Order,Family,Genus,Species
Otu00001,0.073585,0.000793,0.007271,0.027891,8.2e-05,0.003022,0.000999,0.0198215682819383,Bacteria(100),Candidatus_Saccharibacteria(100),Candidatus_Saccharibacteria_unclassified(100),Candidatus_Saccharibacteria_unclassified(100),Candidatus_Saccharibacteria_unclassified(100),Candidatus_Saccharibacteria_unclassified(100),
Otu00002,0.060156,0.000126,0.002899,0.110427,0.000378,0.006485,0.000999,0.0198215682819383,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Bacteroidales_unclassified(100),Bacteroidales_unclassified(100),
Otu00003,0.152356,0.001561,0.010201,0.001063,3e-06,0.000592,0.000999,0.0198215682819383,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Prevotellaceae(100),Alloprevotella(100),
Otu00006,0.054741,0.000863,0.007583,0.002771,1e-06,0.000352,0.000999,0.0198215682819383,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Bacteroidaceae(100),Bacteroides(100),
Otu00007,0.030183,4.3e-05,0.0017,0.052824,5e-05,0.002347,0.000999,0.0198215682819383,Bacteria(100),Bacteroidetes(100),Bacteroidetes_unclassified(78),Bacteroidetes_unclassified(78),Bacteroidetes_unclassified(78),Bacteroidetes_unclassified(78),
Otu00008,0.016344,6.2e-05,0.002039,0.048425,2.4e-05,0.001628,0.000999,0.0198215682819383,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Bacteroidaceae(100),Bacteroides(100),
Otu00009,0.039996,0.00011,0.002704,0.010088,1e-06,0.000316,0.000999,0.0198215682819383,Bacteria(100),Proteobacteria(100),Betaproteobacteria(100),Burkholderiales(100),Sutterellaceae(98),Parasutterella(98),
Otu00011,0.006061,1e-05,0.000806,0.025246,0.000313,0.005895,0.000999,0.0198215682819383,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Bacteroidales_unclassified(100),Bacteroidales_unclassified(100),
Otu00012,0.030909,0.001889,0.011221,0.000173,0,0.000108,0.000999,0.0198215682819383,Bacteria(100),Deferribacteres(100),Deferribacteres(100),Deferribacterales(100),Deferribacteraceae(100),Mucispirillum(100),
Otu00014,0.019908,2e-05,0.001143,0.000432,0,0.000204,0.000999,0.0198215682819383,Bacteria(100),Bacteroidetes(100),Bacteroidetes_unclassified(97),Bacteroidetes_unclassified(97),Bacteroidetes_unclassified(97),Bacteroidetes_unclassified(97),
Otu00015,0.007093,1.3e-05,0.000936,0.000219,0,0.000129,0.000999,0.0198215682819383,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Rikenellaceae(100),Alistipes(100),
Otu00018,0.004003,7e-06,0.000665,0.029213,3.6e-05,0.001986,0.000999,0.0198215682819383,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Bacteroidaceae(100),Bacteroides(100),
Otu00019,0.007033,1.2e-05,0.000884,0.03235,0.000265,0.005427,0.000999,0.0198215682819383,Bacteria(100),Firmicutes(100),Firmicutes_unclassified(99),Firmicutes_unclassified(99),Firmicutes_unclassified(99),Firmicutes_unclassified(99),
Otu00020,0.016005,0.000126,0.002894,2.7e-05,0,1.4e-05,0.000999,0.0198215682819383,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Clostridiales_unclassified(100),Clostridiales_unclassified(100),
Otu00021,0.020602,1.5e-05,0.000999,0.000113,0,7.9e-05,0.000999,0.0198215682819383,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Porphyromonadaceae(100),Parabacteroides(100),
Otu00023,0.00059,0,0.000101,0.026801,7e-06,0.000875,0.000999,0.0198215682819383,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Lachnospiraceae_unclassified(100),
Otu00025,8e-06,0,8e-06,0.021312,0.000402,0.006683,0.000999,0.0198215682819383,Bacteria(100),Tenericutes(100),Mollicutes(100),Anaeroplasmatales(100),Anaeroplasmataceae(100),Anaeroplasma(100),
