OTU,mean.group1.,variance.group1.,stderr.group1.,mean.group2.,variance.group2.,stderr.group2.,p.value,q.value,Kingdom,Phylum,Class,Order,Family,Genus,Species
Otu00001,0.073585,0.000793,0.007271,0.025797,0.000185,0.004536,0.000999,0.018029,Bacteria(100),Candidatus_Saccharibacteria(100),Candidatus_Saccharibacteria_unclassified(100),Candidatus_Saccharibacteria_unclassified(100),Candidatus_Saccharibacteria_unclassified(100),Candidatus_Saccharibacteria_unclassified(100),
Otu00002,0.060156,0.000126,0.002899,0.130456,0.002044,0.015071,0.000999,0.018029,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Bacteroidales_unclassified(100),Bacteroidales_unclassified(100),
Otu00003,0.152356,0.001561,0.010201,0.001349,1.3e-05,0.0012,0.000999,0.018029,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Prevotellaceae(100),Alloprevotella(100),
Otu00004,0.023688,0.000407,0.005208,0.091966,0.000646,0.008472,0.000999,0.018029,Bacteria(100),Proteobacteria(100),Proteobacteria_unclassified(100),Proteobacteria_unclassified(100),Proteobacteria_unclassified(100),Proteobacteria_unclassified(100),
Otu00005,0.056475,0.000831,0.007442,0.018414,0.000211,0.004841,0.000999,0.018029,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Peptostreptococcaceae(100),Romboutsia(100),
Otu00006,0.054741,0.000863,0.007583,0.001196,0,0.000189,0.000999,0.018029,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Bacteroidaceae(100),Bacteroides(100),
Otu00008,0.016344,6.2e-05,0.002039,0.074482,0.000671,0.008633,0.000999,0.018029,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Bacteroidaceae(100),Bacteroides(100),
Otu00009,0.039996,0.00011,0.002704,0.005861,5e-06,0.000747,0.000999,0.018029,Bacteria(100),Proteobacteria(100),Betaproteobacteria(100),Burkholderiales(100),Sutterellaceae(98),Parasutterella(98),
Otu00011,0.006061,1e-05,0.000806,0.044052,0.000105,0.003416,0.000999,0.018029,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Bacteroidales_unclassified(100),Bacteroidales_unclassified(100),
Otu00012,0.030909,0.001889,0.011221,6e-05,0,3.2e-05,0.000999,0.018029,Bacteria(100),Deferribacteres(100),Deferribacteres(100),Deferribacterales(100),Deferribacteraceae(100),Mucispirillum(100),
Otu00014,0.019908,2e-05,0.001143,4.7e-05,0,1.3e-05,0.000999,0.018029,Bacteria(100),Bacteroidetes(100),Bacteroidetes_unclassified(97),Bacteroidetes_unclassified(97),Bacteroidetes_unclassified(97),Bacteroidetes_unclassified(97),
Otu00015,0.007093,1.3e-05,0.000936,5.3e-05,0,2.1e-05,0.000999,0.018029,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Rikenellaceae(100),Alistipes(100),
Otu00020,0.016005,0.000126,0.002894,0.002313,2e-06,0.000518,0.000999,0.018029,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Clostridiales_unclassified(100),Clostridiales_unclassified(100),
Otu00021,0.020602,1.5e-05,0.000999,1.3e-05,0,9e-06,0.000999,0.018029,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Porphyromonadaceae(100),Parabacteroides(100),
Otu00023,0.00059,0,0.000101,0.02508,4.3e-05,0.002174,0.000999,0.018029,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Lachnospiraceae_unclassified(100),
Otu00025,8e-06,0,8e-06,0.024382,0.00031,0.005866,0.000999,0.018029,Bacteria(100),Tenericutes(100),Mollicutes(100),Anaeroplasmatales(100),Anaeroplasmataceae(100),Anaeroplasma(100),
Otu00026,0.00681,3e-05,0.001408,0.018547,1.6e-05,0.001314,0.000999,0.018029,Bacteria(100),Firmicutes(100),Bacilli(100),Lactobacillales(100),Lactobacillaceae(100),Lactobacillus(100),
Otu00027,0.018038,4e-06,0.000524,0.002465,2e-06,0.000481,0.000999,0.018029,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Porphyromonadaceae(71),Porphyromonadaceae_unclassified(71),
Otu00028,0.012281,7e-05,0.002153,0,0,0,0.000999,0.018029,Bacteria(100),Firmicutes(100),Erysipelotrichia(100),Erysipelotrichales(100),Erysipelotrichaceae(100),Turicibacter(100),
Otu00030,0.015494,1.5e-05,0.000998,0.000997,0,0.000207,0.000999,0.018029,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Porphyromonadaceae(100),Parabacteroides(100),
Otu00031,0.001459,5e-06,0.000593,0.007317,1.5e-05,0.001301,0.000999,0.018029,Bacteria(100),Bacteroidetes(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),
