OTU,mean.group1.,variance.group1.,stderr.group1.,mean.group2.,variance.group2.,stderr.group2.,p.value,q.value,Kingdom,Phylum,Class,Order,Family,Genus,Species
Otu00001,0.160546,0.000133,0.003332,0.027891,8.2e-05,0.003022,0.000999,0.0205387627118644,Bacteria(100),Candidatus_Saccharibacteria(100),Candidatus_Saccharibacteria_unclassified(100),Candidatus_Saccharibacteria_unclassified(100),Candidatus_Saccharibacteria_unclassified(100),Candidatus_Saccharibacteria_unclassified(100),
Otu00002,0.031728,7.6e-05,0.002511,0.110427,0.000378,0.006485,0.000999,0.0205387627118644,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Bacteroidales_unclassified(100),Bacteroidales_unclassified(100),
Otu00003,0.026764,3.9e-05,0.001801,0.001063,3e-06,0.000592,0.000999,0.0205387627118644,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Prevotellaceae(100),Alloprevotella(100),
Otu00005,0.005313,3.1e-05,0.001616,0.056845,0.000311,0.005875,0.000999,0.0205387627118644,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Peptostreptococcaceae(100),Romboutsia(100),
Otu00006,0.03285,7.6e-05,0.00252,0.002771,1e-06,0.000352,0.000999,0.0205387627118644,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Bacteroidaceae(100),Bacteroides(100),
Otu00007,0.008378,5e-06,0.000624,0.052824,5e-05,0.002347,0.000999,0.0205387627118644,Bacteria(100),Bacteroidetes(100),Bacteroidetes_unclassified(78),Bacteroidetes_unclassified(78),Bacteroidetes_unclassified(78),Bacteroidetes_unclassified(78),
Otu00008,0.000658,0,0.000182,0.048425,2.4e-05,0.001628,0.000999,0.0205387627118644,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Bacteroidaceae(100),Bacteroides(100),
Otu00014,0.02033,0.00015,0.003534,0.000432,0,0.000204,0.000999,0.0205387627118644,Bacteria(100),Bacteroidetes(100),Bacteroidetes_unclassified(97),Bacteroidetes_unclassified(97),Bacteroidetes_unclassified(97),Bacteroidetes_unclassified(97),
Otu00015,0.033323,0.000209,0.004169,0.000219,0,0.000129,0.000999,0.0205387627118644,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Rikenellaceae(100),Alistipes(100),
Otu00016,0.024163,9.5e-05,0.002808,0.008805,1.6e-05,0.001344,0.000999,0.0205387627118644,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Ruminococcaceae(100),Intestinimonas(100),
Otu00017,0.032456,0.000116,0.003113,0,0,0,0.000999,0.0205387627118644,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Lachnospiraceae_unclassified(100),
