OTU,mean.group1.,variance.group1.,stderr.group1.,mean.group2.,variance.group2.,stderr.group2.,p.value,q.value,Kingdom,Phylum,Class,Order,Family,Genus,Species
Otu00001,0.160546,0.000133,0.003332,0.025797,0.000185,0.004536,0.000999,0.0220394139344262,Bacteria(100),Candidatus_Saccharibacteria(100),Candidatus_Saccharibacteria_unclassified(100),Candidatus_Saccharibacteria_unclassified(100),Candidatus_Saccharibacteria_unclassified(100),Candidatus_Saccharibacteria_unclassified(100),
Otu00002,0.031728,7.6e-05,0.002511,0.130456,0.002044,0.015071,0.000999,0.0220394139344262,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Bacteroidales_unclassified(100),Bacteroidales_unclassified(100),
Otu00003,0.026764,3.9e-05,0.001801,0.001349,1.3e-05,0.0012,0.000999,0.0220394139344262,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Prevotellaceae(100),Alloprevotella(100),
Otu00004,0.05623,3.2e-05,0.001642,0.091966,0.000646,0.008472,0.000999,0.0220394139344262,Bacteria(100),Proteobacteria(100),Proteobacteria_unclassified(100),Proteobacteria_unclassified(100),Proteobacteria_unclassified(100),Proteobacteria_unclassified(100),
Otu00006,0.03285,7.6e-05,0.00252,0.001196,0,0.000189,0.000999,0.0220394139344262,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Bacteroidaceae(100),Bacteroides(100),
Otu00007,0.008378,5e-06,0.000624,0.042697,0.000355,0.006277,0.000999,0.0220394139344262,Bacteria(100),Bacteroidetes(100),Bacteroidetes_unclassified(78),Bacteroidetes_unclassified(78),Bacteroidetes_unclassified(78),Bacteroidetes_unclassified(78),
Otu00008,0.000658,0,0.000182,0.074482,0.000671,0.008633,0.000999,0.0220394139344262,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Bacteroidaceae(100),Bacteroides(100),
Otu00009,0.017006,1e-04,0.002886,0.005861,5e-06,0.000747,0.000999,0.0220394139344262,Bacteria(100),Proteobacteria(100),Betaproteobacteria(100),Burkholderiales(100),Sutterellaceae(98),Parasutterella(98),
Otu00010,0.065072,0.001567,0.011426,1e-04,0,3.2e-05,0.000999,0.0220394139344262,Bacteria(100),Proteobacteria(100),Epsilonproteobacteria(100),Campylobacterales(100),Helicobacteraceae(100),Helicobacter(100),
Otu00011,0.016587,8.8e-05,0.002703,0.044052,0.000105,0.003416,0.000999,0.0220394139344262,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Bacteroidales_unclassified(100),Bacteroidales_unclassified(100),
Otu00012,0.019562,0.000256,0.004621,6e-05,0,3.2e-05,0.000999,0.0220394139344262,Bacteria(100),Deferribacteres(100),Deferribacteres(100),Deferribacterales(100),Deferribacteraceae(100),Mucispirillum(100),
Otu00014,0.02033,0.00015,0.003534,4.7e-05,0,1.3e-05,0.000999,0.0220394139344262,Bacteria(100),Bacteroidetes(100),Bacteroidetes_unclassified(97),Bacteroidetes_unclassified(97),Bacteroidetes_unclassified(97),Bacteroidetes_unclassified(97),
Otu00015,0.033323,0.000209,0.004169,5.3e-05,0,2.1e-05,0.000999,0.0220394139344262,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Rikenellaceae(100),Alistipes(100),
Otu00016,0.024163,9.5e-05,0.002808,0.006785,1e-05,0.001035,0.000999,0.0220394139344262,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Ruminococcaceae(100),Intestinimonas(100),
Otu00017,0.032456,0.000116,0.003113,7e-06,0,7e-06,0.000999,0.0220394139344262,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Lachnospiraceae_unclassified(100),
Otu00021,0.006948,2e-06,0.000453,1.3e-05,0,9e-06,0.000999,0.0220394139344262,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Porphyromonadaceae(100),Parabacteroides(100),
Otu00022,0.030961,0.00033,0.005244,0,0,0,0.000999,0.0220394139344262,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),
Otu00023,0.000125,0,2.8e-05,0.02508,4.3e-05,0.002174,0.000999,0.0220394139344262,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Lachnospiraceae_unclassified(100),
Otu00025,0,0,0,0.024382,0.00031,0.005866,0.000999,0.0220394139344262,Bacteria(100),Tenericutes(100),Mollicutes(100),Anaeroplasmatales(100),Anaeroplasmataceae(100),Anaeroplasma(100),
Otu00026,0.003195,3e-06,0.000535,0.018547,1.6e-05,0.001314,0.000999,0.0220394139344262,Bacteria(100),Firmicutes(100),Bacilli(100),Lactobacillales(100),Lactobacillaceae(100),Lactobacillus(100),
Otu00028,0.000513,0,0.000129,0,0,0,0.000999,0.0220394139344262,Bacteria(100),Firmicutes(100),Erysipelotrichia(100),Erysipelotrichales(100),Erysipelotrichaceae(100),Turicibacter(100),
Otu00030,0.004311,2e-06,0.000364,0.000997,0,0.000207,0.000999,0.0220394139344262,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Porphyromonadaceae(100),Parabacteroides(100),
Otu00038,0.004471,9e-06,0.000857,0.00216,0,0.000137,0.000999,0.0220394139344262,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Porphyromonadaceae(100),Porphyromonadaceae_unclassified(84),
Otu00040,0.014683,0.000238,0.004458,0.000372,0,9.3e-05,0.000999,0.0220394139344262,Bacteria(100),Verrucomicrobia(100),Verrucomicrobiae(100),Verrucomicrobiales(100),Verrucomicrobiaceae(100),Akkermansia(100),
Otu00041,0.010546,2.2e-05,0.001344,1.3e-05,0,9e-06,0.000999,0.0220394139344262,Bacteria(100),Bacteroidetes(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),
Otu00044,0.005527,5e-06,0.000665,0,0,0,0.000999,0.0220394139344262,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Prevotellaceae(100),Paraprevotella(100),
Otu00045,0.001665,0,0.000128,2e-05,0,1.4e-05,0.000999,0.0220394139344262,Bacteria(100),Bacteroidetes(100),Bacteroidetes_unclassified(90),Bacteroidetes_unclassified(90),Bacteroidetes_unclassified(90),Bacteroidetes_unclassified(90),
Otu00047,0.010631,4.8e-05,0.001993,2e-05,0,1e-05,0.000999,0.0220394139344262,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Porphyromonadaceae(96),Porphyromonadaceae_unclassified(73),
